a=1, b=0, c=1
a=15094765, b=15089271, c=5494
a=15100260, b=15094765, c=5495
a=15105756, b=15100260, c=5496
a=15111253, b=15105756, c=5497
a=15116751, b=15111253, c=5498
a=15122250, b=15116751, c=5499
a=15127750, b=15122250, c=5500
a=15133251, b=15127750, c=5501
a=15138753, b=15133251, c=5502
a=15144256, b=15138753, c=5503
a=15149760, b=15144256, c=5504
a=15155265, b=15149760, c=5505
a=15160771, b=15155265, c=5506
a=15166278, b=15160771, c=5507
a=15171786, b=15166278, c=5508
a=15177295, b=15171786, c=5509
a=15182805, b=15177295, c=5510
a=15188316, b=15182805, c=5511
a=15193828, b=15188316, c=5512
a=15199341, b=15193828, c=5513
a=15204855, b=15199341, c=5514
a=15210370, b=15204855, c=5515
a=15215886, b=15210370, c=5516
a=15221403, b=15215886, c=5517
a=15226921, b=15221403, c=5518
a=15232440, b=15226921, c=5519
a=15237960, b=15232440, c=5520
a=15243481, b=15237960, c=5521
a=15249003, b=15243481, c=5522
a=15254526, b=15249003, c=5523
a=15260050, b=15254526, c=5524
a=15265575, b=15260050, c=5525
a=15271101, b=15265575, c=5526
a=15276628, b=15271101, c=5527
a=15282156, b=15276628, c=5528
a=15287685, b=15282156, c=5529
a=15293215, b=15287685, c=5530
a=15298746, b=15293215, c=5531
a=15304278, b=15298746, c=5532
a=15309811, b=15304278, c=5533
a=15315345, b=15309811, c=5534
a=15320880, b=15315345, c=5535
a=15326416, b=15320880, c=5536
a=15331953, b=15326416, c=5537
a=15337491, b=15331953, c=5538
a=15343030, b=15337491, c=5539
a=15348570, b=15343030, c=5540
a=15354111, b=15348570, c=5541
a=15359653, b=15354111, c=5542
a=15365196, b=15359653, c=5543
a=15370740, b=15365196, c=5544
a=15376285, b=15370740, c=5545
a=15381831, b=15376285, c=5546
a=15387378, b=15381831, c=5547
a=15392926, b=15387378, c=5548
a=15398475, b=15392926, c=5549
a=15404025, b=15398475, c=5550
a=15409576, b=15404025, c=5551
a=15415128, b=15409576, c=5552
a=15420681, b=15415128, c=5553
a=15426235, b=15420681, c=5554
a=15431790, b=15426235, c=5555
a=15437346, b=15431790, c=5556
a=15442903, b=15437346, c=5557
a=15448461, b=15442903, c=5558
a=15454020, b=15448461, c=5559
a=15459580, b=15454020, c=5560
a=15465141, b=15459580, c=5561
a=15470703, b=15465141, c=5562
a=15476266, b=15470703, c=5563
a=15481830, b=15476266, c=5564
a=15487395, b=15481830, c=5565
a=15492961, b=15487395, c=5566
a=15498528, b=15492961, c=5567
a=15504096, b=15498528, c=5568
a=15509665, b=15504096, c=5569
a=15515235, b=15509665, c=5570
a=15520806, b=15515235, c=5571
a=15526378, b=15520806, c=5572
a=15531951, b=15526378, c=5573
a=15537525, b=15531951, c=5574
a=15543100, b=15537525, c=5575
a=15548676, b=15543100, c=5576
a=15554253, b=15548676, c=5577
a=15559831, b=15554253, c=5578
a=15565410, b=15559831, c=5579
a=15570990, b=15565410, c=5580
a=15576571, b=15570990, c=5581
a=15582153, b=15576571, c=5582
a=15587736, b=15582153, c=5583
a=15593320, b=15587736, c=5584
a=15598905, b=15593320, c=5585
a=15604491, b=15598905, c=5586
a=15610078, b=15604491, c=5587
a=15615666, b=15610078, c=5588
a=15621255, b=15615666, c=5589
a=15626845, b=15621255, c=5590
a=15632436, b=15626845, c=5591
a=15638028, b=15632436, c=5592
a=15643621, b=15638028, c=5593
a=15649215, b=15643621, c=5594
a=15654810, b=15649215, c=5595
a=15660406, b=15654810, c=5596
a=15666003, b=15660406, c=5597
a=15671601, b=15666003, c=5598
a=15677200, b=15671601, c=5599
a=15682800, b=15677200, c=5600
a=15688401, b=15682800, c=5601
a=15694003, b=15688401, c=5602
a=15699606, b=15694003, c=5603
a=15705210, b=15699606, c=5604
a=15710815, b=15705210, c=5605
a=15716421, b=15710815, c=5606
a=15722028, b=15716421, c=5607
a=15727636, b=15722028, c=5608
a=15733245, b=15727636, c=5609
a=15738855, b=15733245, c=5610
a=15744466, b=15738855, c=5611
a=15750078, b=15744466, c=5612
a=15755691, b=15750078, c=5613
a=15761305, b=15755691, c=5614
a=15766920, b=15761305, c=5615
a=15772536, b=15766920, c=5616
a=15778153, b=15772536, c=5617
a=15783771, b=15778153, c=5618
a=15789390, b=15783771, c=5619
a=15795010, b=15789390, c=5620
a=15800631, b=15795010, c=5621
a=15806253, b=15800631, c=5622
a=15811876, b=15806253, c=5623
a=15817500, b=15811876, c=5624
a=15823125, b=15817500, c=5625
a=15828751, b=15823125, c=5626
a=15834378, b=15828751, c=5627
a=15840006, b=15834378, c=5628
a=15845635, b=15840006, c=5629
a=15851265, b=15845635, c=5630
a=15856896, b=15851265, c=5631
a=15862528, b=15856896, c=5632
a=15868161, b=15862528, c=5633
a=15873795, b=15868161, c=5634
a=15879430, b=15873795, c=5635
a=15885066, b=15879430, c=5636
a=15890703, b=15885066, c=5637
a=15896341, b=15890703, c=5638
a=15901980, b=15896341, c=5639
a=15907620, b=15901980, c=5640
a=15913261, b=15907620, c=5641
a=15918903, b=15913261, c=5642
a=15924546, b=15918903, c=5643
a=15930190, b=15924546, c=5644
a=15935835, b=15930190, c=5645
a=15941481, b=15935835, c=5646
a=15947128, b=15941481, c=5647
a=15952776, b=15947128, c=5648
a=15958425, b=15952776, c=5649
a=15964075, b=15958425, c=5650
a=15969726, b=15964075, c=5651
a=15975378, b=15969726, c=5652
a=15981031, b=15975378, c=5653
a=15986685, b=15981031, c=5654
a=15992340, b=15986685, c=5655
a=15997996, b=15992340, c=5656
a=16003653, b=15997996, c=5657
a=16009311, b=16003653, c=5658
a=16014970, b=16009311, c=5659
a=16020630, b=16014970, c=5660
a=16026291, b=16020630, c=5661
a=16031953, b=16026291, c=5662
a=16037616, b=16031953, c=5663
a=16043280, b=16037616, c=5664
a=16048945, b=16043280, c=5665
a=16054611, b=16048945, c=5666
a=16060278, b=16054611, c=5667
a=16065946, b=16060278, c=5668
a=16071615, b=16065946, c=5669
a=16077285, b=16071615, c=5670
a=16082956, b=16077285, c=5671
a=16088628, b=16082956, c=5672
a=16094301, b=16088628, c=5673
a=16099975, b=16094301, c=5674
a=16105650, b=16099975, c=5675
a=16111326, b=16105650, c=5676
a=16117003, b=16111326, c=5677
a=16122681, b=16117003, c=5678
a=16128360, b=16122681, c=5679
a=16134040, b=16128360, c=5680
a=16139721, b=16134040, c=5681
a=16145403, b=16139721, c=5682
a=16151086, b=16145403, c=5683
a=16156770, b=16151086, c=5684
a=16162455, b=16156770, c=5685
a=16168141, b=16162455, c=5686
a=16173828, b=16168141, c=5687
a=16179516, b=16173828, c=5688
a=16185205, b=16179516, c=5689
a=16190895, b=16185205, c=5690
a=16196586, b=16190895, c=5691
a=16202278, b=16196586, c=5692
a=16207971, b=16202278, c=5693
a=16213665, b=16207971, c=5694
a=16219360, b=16213665, c=5695
a=16225056, b=16219360, c=5696
a=16230753, b=16225056, c=5697
a=16236451, b=16230753, c=5698
a=16242150, b=16236451, c=5699
a=16247850, b=16242150, c=5700
a=16253551, b=16247850, c=5701
a=16259253, b=16253551, c=5702
a=16264956, b=16259253, c=5703
a=16270660, b=16264956, c=5704
a=16276365, b=16270660, c=5705
a=16282071, b=16276365, c=5706
a=16287778, b=16282071, c=5707
a=16293486, b=16287778, c=5708
a=16299195, b=16293486, c=5709
a=16304905, b=16299195, c=5710
a=16310616, b=16304905, c=5711
a=16316328, b=16310616, c=5712
a=16322041, b=16316328, c=5713
a=16327755, b=16322041, c=5714
a=16333470, b=16327755, c=5715
a=16339186, b=16333470, c=5716
a=16344903, b=16339186, c=5717
a=16350621, b=16344903, c=5718
a=16356340, b=16350621, c=5719
a=16362060, b=16356340, c=5720
a=16367781, b=16362060, c=5721
a=16373503, b=16367781, c=5722
a=16379226, b=16373503, c=5723
a=16384950, b=16379226, c=5724
a=16390675, b=16384950, c=5725
a=16396401, b=16390675, c=5726
a=16402128, b=16396401, c=5727
a=16407856, b=16402128, c=5728
a=16413585, b=16407856, c=5729
a=16419315, b=16413585, c=5730
a=16425046, b=16419315, c=5731
a=16430778, b=16425046, c=5732
a=16436511, b=16430778, c=5733
a=16442245, b=16436511, c=5734
a=16447980, b=16442245, c=5735
a=16453716, b=16447980, c=5736
a=16459453, b=16453716, c=5737
a=16465191, b=16459453, c=5738
a=16470930, b=16465191, c=5739
a=16476670, b=16470930, c=5740
a=16482411, b=16476670, c=5741
a=16488153, b=16482411, c=5742
a=16493896, b=16488153, c=5743
a=16499640, b=16493896, c=5744
a=16505385, b=16499640, c=5745
a=16511131, b=16505385, c=5746
a=16516878, b=16511131, c=5747
a=16522626, b=16516878, c=5748
a=16528375, b=16522626, c=5749
a=16534125, b=16528375, c=5750
a=16539876, b=16534125, c=5751
a=16545628, b=16539876, c=5752
a=16551381, b=16545628, c=5753
a=16557135, b=16551381, c=5754
a=16562890, b=16557135, c=5755
a=16568646, b=16562890, c=5756
a=16574403, b=16568646, c=5757
a=16580161, b=16574403, c=5758
a=16585920, b=16580161, c=5759
a=16591680, b=16585920, c=5760
a=16597441, b=16591680, c=5761
a=16603203, b=16597441, c=5762
a=16608966, b=16603203, c=5763
a=16614730, b=16608966, c=5764
a=16620495, b=16614730, c=5765
a=16626261, b=16620495, c=5766
a=16632028, b=16626261, c=5767
a=16637796, b=16632028, c=5768
a=16643565, b=16637796, c=5769
a=16649335, b=16643565, c=5770
a=16655106, b=16649335, c=5771
a=16660878, b=16655106, c=5772
a=16666651, b=16660878, c=5773
a=16672425, b=16666651, c=5774
a=16678200, b=16672425, c=5775
a=16683976, b=16678200, c=5776
a=16689753, b=16683976, c=5777
a=16695531, b=16689753, c=5778
a=16701310, b=16695531, c=5779
a=16707090, b=16701310, c=5780
a=16712871, b=16707090, c=5781
a=16718653, b=16712871, c=5782
a=16724436, b=16718653, c=5783
a=16730220, b=16724436, c=5784
a=16736005, b=16730220, c=5785
a=16741791, b=16736005, c=5786
a=16747578, b=16741791, c=5787
a=16753366, b=16747578, c=5788
a=16759155, b=16753366, c=5789
a=16764945, b=16759155, c=5790
a=16770736, b=16764945, c=5791
a=16776528, b=16770736, c=5792
a=16782321, b=16776528, c=5793
a=16788115, b=16782321, c=5794
a=16793910, b=16788115, c=5795
a=16799706, b=16793910, c=5796
a=16805503, b=16799706, c=5797
a=16811301, b=16805503, c=5798
a=16817100, b=16811301, c=5799
a=16822900, b=16817100, c=5800
a=16828701, b=16822900, c=5801
a=16834503, b=16828701, c=5802
a=16840306, b=16834503, c=5803
a=16846110, b=16840306, c=5804
a=16851915, b=16846110, c=5805
a=16857721, b=16851915, c=5806
a=16863528, b=16857721, c=5807
a=16869336, b=16863528, c=5808
a=16875145, b=16869336, c=5809
a=16880955, b=16875145, c=5810
a=16886766, b=16880955, c=5811
a=16892578, b=16886766, c=5812
a=16898391, b=16892578, c=5813
a=16904205, b=16898391, c=5814
a=16910020, b=16904205, c=5815
a=16915836, b=16910020, c=5816
a=16921653, b=16915836, c=5817
a=16927471, b=16921653, c=5818
a=16933290, b=16927471, c=5819
a=16939110, b=16933290, c=5820
a=16944931, b=16939110, c=5821
a=16950753, b=16944931, c=5822
a=16956576, b=16950753, c=5823
a=16962400, b=16956576, c=5824
a=16968225, b=16962400, c=5825
a=16974051, b=16968225, c=5826
a=16979878, b=16974051, c=5827
a=16985706, b=16979878, c=5828
a=16991535, b=16985706, c=5829
a=16997365, b=16991535, c=5830
a=17003196, b=16997365, c=5831
a=17009028, b=17003196, c=5832
a=17014861, b=17009028, c=5833
a=17020695, b=17014861, c=5834
a=17026530, b=17020695, c=5835
a=17032366, b=17026530, c=5836
a=17038203, b=17032366, c=5837
a=17044041, b=17038203, c=5838
a=17049880, b=17044041, c=5839
a=17055720, b=17049880, c=5840
a=17061561, b=17055720, c=5841
a=17067403, b=17061561, c=5842
a=17073246, b=17067403, c=5843
a=17079090, b=17073246, c=5844
a=17084935, b=17079090, c=5845
a=17090781, b=17084935, c=5846
a=17096628, b=17090781, c=5847
a=17102476, b=17096628, c=5848
a=17108325, b=17102476, c=5849
a=17114175, b=17108325, c=5850
a=17120026, b=17114175, c=5851
a=17125878, b=17120026, c=5852
a=17131731, b=17125878, c=5853
a=17137585, b=17131731, c=5854
a=17143440, b=17137585, c=5855
a=17149296, b=17143440, c=5856
a=17155153, b=17149296, c=5857
a=17161011, b=17155153, c=5858
a=17166870, b=17161011, c=5859
a=17172730, b=17166870, c=5860
a=17178591, b=17172730, c=5861
a=17184453, b=17178591, c=5862
a=17190316, b=17184453, c=5863
a=17196180, b=17190316, c=5864
a=17202045, b=17196180, c=5865
a=17207911, b=17202045, c=5866
a=17213778, b=17207911, c=5867
a=17219646, b=17213778, c=5868
a=17225515, b=17219646, c=5869
a=17231385, b=17225515, c=5870
a=17237256, b=17231385, c=5871
a=17243128, b=17237256, c=5872
a=17249001, b=17243128, c=5873
a=17254875, b=17249001, c=5874
a=17260750, b=17254875, c=5875
a=17266626, b=17260750, c=5876
a=17272503, b=17266626, c=5877
a=17278381, b=17272503, c=5878
a=17284260, b=17278381, c=5879
a=17290140, b=17284260, c=5880
a=17296021, b=17290140, c=5881
a=17301903, b=17296021, c=5882
a=17307786, b=17301903, c=5883
a=17313670, b=17307786, c=5884
a=17319555, b=17313670, c=5885
a=17325441, b=17319555, c=5886
a=17331328, b=17325441, c=5887
a=17337216, b=17331328, c=5888
a=17343105, b=17337216, c=5889
a=17348995, b=17343105, c=5890
a=17354886, b=17348995, c=5891
a=17360778, b=17354886, c=5892
a=17366671, b=17360778, c=5893
a=17372565, b=17366671, c=5894
a=17378460, b=17372565, c=5895
a=17384356, b=17378460, c=5896
a=17390253, b=17384356, c=5897
a=17396151, b=17390253, c=5898
a=17402050, b=17396151, c=5899
a=17407950, b=17402050, c=5900
a=17413851, b=17407950, c=5901
a=17419753, b=17413851, c=5902
a=17425656, b=17419753, c=5903
a=17431560, b=17425656, c=5904
a=17437465, b=17431560, c=5905
a=17443371, b=17437465, c=5906
a=17449278, b=17443371, c=5907
a=17455186, b=17449278, c=5908
a=17461095, b=17455186, c=5909
a=17467005, b=17461095, c=5910
a=17472916, b=17467005, c=5911
a=17478828, b=17472916, c=5912
a=17484741, b=17478828, c=5913
a=17490655, b=17484741, c=5914
a=17496570, b=17490655, c=5915
a=17502486, b=17496570, c=5916
a=17508403, b=17502486, c=5917
a=17514321, b=17508403, c=5918
a=17520240, b=17514321, c=5919
a=17526160, b=17520240, c=5920
a=17532081, b=17526160, c=5921
a=17538003, b=17532081, c=5922
a=17543926, b=17538003, c=5923
a=17549850, b=17543926, c=5924
a=17555775, b=17549850, c=5925
a=17561701, b=17555775, c=5926
a=17567628, b=17561701, c=5927
a=17573556, b=17567628, c=5928
a=17579485, b=17573556, c=5929
a=17585415, b=17579485, c=5930
a=17591346, b=17585415, c=5931
a=17597278, b=17591346, c=5932
a=17603211, b=17597278, c=5933
a=17609145, b=17603211, c=5934
a=17615080, b=17609145, c=5935
a=17621016, b=17615080, c=5936
a=17626953, b=17621016, c=5937
a=17632891, b=17626953, c=5938
a=17638830, b=17632891, c=5939
a=17644770, b=17638830, c=5940
a=17650711, b=17644770, c=5941
a=17656653, b=17650711, c=5942
a=17662596, b=17656653, c=5943
a=17668540, b=17662596, c=5944
a=17674485, b=17668540, c=5945
a=17680431, b=17674485, c=5946
a=17686378, b=17680431, c=5947
a=17692326, b=17686378, c=5948
a=17698275, b=17692326, c=5949
a=17704225, b=17698275, c=5950
a=17710176, b=17704225, c=5951
a=17716128, b=17710176, c=5952
a=17722081, b=17716128, c=5953
a=17728035, b=17722081, c=5954
a=17733990, b=17728035, c=5955
a=17739946, b=17733990, c=5956
a=17745903, b=17739946, c=5957
a=17751861, b=17745903, c=5958
a=17757820, b=17751861, c=5959
a=17763780, b=17757820, c=5960
a=17769741, b=17763780, c=5961
a=17775703, b=17769741, c=5962
a=17781666, b=17775703, c=5963
a=17787630, b=17781666, c=5964
a=17793595, b=17787630, c=5965
a=17799561, b=17793595, c=5966
a=17805528, b=17799561, c=5967
a=17811496, b=17805528, c=5968
a=17817465, b=17811496, c=5969
a=17823435, b=17817465, c=5970
a=17829406, b=17823435, c=5971
a=17835378, b=17829406, c=5972
a=17841351, b=17835378, c=5973
a=17847325, b=17841351, c=5974
a=17853300, b=17847325, c=5975
a=17859276, b=17853300, c=5976
a=17865253, b=17859276, c=5977
a=17871231, b=17865253, c=5978
a=17877210, b=17871231, c=5979
a=17883190, b=17877210, c=5980
a=17889171, b=17883190, c=5981
a=17895153, b=17889171, c=5982
a=17901136, b=17895153, c=5983
a=17907120, b=17901136, c=5984
a=17913105, b=17907120, c=5985
a=17919091, b=17913105, c=5986
a=17925078, b=17919091, c=5987
a=17931066, b=17925078, c=5988
a=17937055, b=17931066, c=5989
a=17943045, b=17937055, c=5990
a=17949036, b=17943045, c=5991
a=17955028, b=17949036, c=5992
a=17961021, b=17955028, c=5993
a=17967015, b=17961021, c=5994
a=17973010, b=17967015, c=5995
a=17979006, b=17973010, c=5996
a=17985003, b=17979006, c=5997
a=17991001, b=17985003, c=5998
a=17997000, b=17991001, c=5999
a=18003000, b=17997000, c=6000
a=18009001, b=18003000, c=6001
a=18015003, b=18009001, c=6002
a=18021006, b=18015003, c=6003
a=18027010, b=18021006, c=6004
a=18033015, b=18027010, c=6005
a=18039021, b=18033015, c=6006
a=18045028, b=18039021, c=6007
a=18051036, b=18045028, c=6008
a=18057045, b=18051036, c=6009
a=18063055, b=18057045, c=6010
a=18069066, b=18063055, c=6011
a=18075078, b=18069066, c=6012
a=18081091, b=18075078, c=6013
a=18087105, b=18081091, c=6014
a=18093120, b=18087105, c=6015
a=18099136, b=18093120, c=6016
a=18105153, b=18099136, c=6017
a=18111171, b=18105153, c=6018
a=18117190, b=18111171, c=6019
a=18123210, b=18117190, c=6020
a=18129231, b=18123210, c=6021
a=18135253, b=18129231, c=6022
a=18141276, b=18135253, c=6023
a=18147300, b=18141276, c=6024
a=18153325, b=18147300, c=6025
a=18159351, b=18153325, c=6026
a=18165378, b=18159351, c=6027
a=18171406, b=18165378, c=6028
a=18177435, b=18171406, c=6029
a=18183465, b=18177435, c=6030
a=18189496, b=18183465, c=6031
a=18195528, b=18189496, c=6032
a=18201561, b=18195528, c=6033
a=18207595, b=18201561, c=6034
a=18213630, b=18207595, c=6035
a=18219666, b=18213630, c=6036
a=18225703, b=18219666, c=6037
a=18231741, b=18225703, c=6038
a=18237780, b=18231741, c=6039
a=18243820, b=18237780, c=6040
a=18249861, b=18243820, c=6041
a=18255903, b=18249861, c=6042
a=18261946, b=18255903, c=6043
a=18267990, b=18261946, c=6044
a=18274035, b=18267990, c=6045
a=18280081, b=18274035, c=6046
a=18286128, b=18280081, c=6047
a=18292176, b=18286128, c=6048
a=18298225, b=18292176, c=6049
a=18304275, b=18298225, c=6050
a=18310326, b=18304275, c=6051
a=18316378, b=18310326, c=6052
a=18322431, b=18316378, c=6053
a=18328485, b=18322431, c=6054
a=18334540, b=18328485, c=6055
a=18340596, b=18334540, c=6056
a=18346653, b=18340596, c=6057
a=18352711, b=18346653, c=6058
a=18358770, b=18352711, c=6059
a=18364830, b=18358770, c=6060
a=18370891, b=18364830, c=6061
a=18376953, b=18370891, c=6062
a=18383016, b=18376953, c=6063
a=18389080, b=18383016, c=6064
a=18395145, b=18389080, c=6065
a=18401211, b=18395145, c=6066
a=18407278, b=18401211, c=6067
a=18413346, b=18407278, c=6068
a=18419415, b=18413346, c=6069
a=18425485, b=18419415, c=6070
a=18431556, b=18425485, c=6071
a=18437628, b=18431556, c=6072
a=18443701, b=18437628, c=6073
a=18449775, b=18443701, c=6074
a=18455850, b=18449775, c=6075
a=18461926, b=18455850, c=6076
a=18468003, b=18461926, c=6077
a=18474081, b=18468003, c=6078
a=18480160, b=18474081, c=6079
a=18486240, b=18480160, c=6080
a=18492321, b=18486240, c=6081
a=18498403, b=18492321, c=6082
a=18504486, b=18498403, c=6083
a=18510570, b=18504486, c=6084
a=18516655, b=18510570, c=6085
a=18522741, b=18516655, c=6086
a=18528828, b=18522741, c=6087
a=18534916, b=18528828, c=6088
a=18541005, b=18534916, c=6089
a=18547095, b=18541005, c=6090
a=18553186, b=18547095, c=6091
a=18559278, b=18553186, c=6092
a=18565371, b=18559278, c=6093
a=18571465, b=18565371, c=6094
a=18577560, b=18571465, c=6095
a=18583656, b=18577560, c=6096
a=18589753, b=18583656, c=6097
a=18595851, b=18589753, c=6098
a=18601950, b=18595851, c=6099
a=18608050, b=18601950, c=6100
a=18614151, b=18608050, c=6101
a=18620253, b=18614151, c=6102
a=18626356, b=18620253, c=6103
a=18632460, b=18626356, c=6104
a=18638565, b=18632460, c=6105
a=18644671, b=18638565, c=6106
a=18650778, b=18644671, c=6107
a=18656886, b=18650778, c=6108
a=18662995, b=18656886, c=6109
a=18669105, b=18662995, c=6110
a=18675216, b=18669105, c=6111
a=18681328, b=18675216, c=6112
a=18687441, b=18681328, c=6113
a=18693555, b=18687441, c=6114
a=18699670, b=18693555, c=6115
a=18705786, b=18699670, c=6116
a=18711903, b=18705786, c=6117
a=18718021, b=18711903, c=6118
a=18724140, b=18718021, c=6119
a=18730260, b=18724140, c=6120
a=18736381, b=18730260, c=6121
a=18742503, b=18736381, c=6122
a=18748626, b=18742503, c=6123
a=18754750, b=18748626, c=6124
a=18760875, b=18754750, c=6125
a=18767001, b=18760875, c=6126
a=18773128, b=18767001, c=6127
a=18779256, b=18773128, c=6128
a=18785385, b=18779256, c=6129
a=18791515, b=18785385, c=6130
a=18797646, b=18791515, c=6131
a=18803778, b=18797646, c=6132
a=18809911, b=18803778, c=6133
a=18816045, b=18809911, c=6134
a=18822180, b=18816045, c=6135
a=18828316, b=18822180, c=6136
a=18834453, b=18828316, c=6137
a=18840591, b=18834453, c=6138
a=18846730, b=18840591, c=6139
a=18852870, b=18846730, c=6140
a=18859011, b=18852870, c=6141
a=18865153, b=18859011, c=6142
a=18871296, b=18865153, c=6143
a=18877440, b=18871296, c=6144
a=18883585, b=18877440, c=6145
a=18889731, b=18883585, c=6146
a=18895878, b=18889731, c=6147
a=18902026, b=18895878, c=6148
a=18908175, b=18902026, c=6149
a=18914325, b=18908175, c=6150
a=18920476, b=18914325, c=6151
a=18926628, b=18920476, c=6152
a=18932781, b=18926628, c=6153
a=18938935, b=18932781, c=6154
a=18945090, b=18938935, c=6155
a=18951246, b=18945090, c=6156
a=18957403, b=18951246, c=6157
a=18963561, b=18957403, c=6158
a=18969720, b=18963561, c=6159
a=18975880, b=18969720, c=6160
a=18982041, b=18975880, c=6161
a=18988203, b=18982041, c=6162
a=18994366, b=18988203, c=6163
a=19000530, b=18994366, c=6164
a=19006695, b=19000530, c=6165
a=19012861, b=19006695, c=6166
a=19019028, b=19012861, c=6167
a=19025196, b=19019028, c=6168
a=19031365, b=19025196, c=6169
a=19037535, b=19031365, c=6170
a=19043706, b=19037535, c=6171
a=19049878, b=19043706, c=6172
a=19056051, b=19049878, c=6173
a=19062225, b=19056051, c=6174
a=19068400, b=19062225, c=6175
a=19074576, b=19068400, c=6176
a=19080753, b=19074576, c=6177
a=19086931, b=19080753, c=6178
a=19093110, b=19086931, c=6179
a=19099290, b=19093110, c=6180
a=19105471, b=19099290, c=6181
a=19111653, b=19105471, c=6182
a=19117836, b=19111653, c=6183
a=19124020, b=19117836, c=6184
a=19130205, b=19124020, c=6185
a=19136391, b=19130205, c=6186
a=19142578, b=19136391, c=6187
a=19148766, b=19142578, c=6188
a=19154955, b=19148766, c=6189
a=19161145, b=19154955, c=6190
a=19167336, b=19161145, c=6191
a=19173528, b=19167336, c=6192
a=19179721, b=19173528, c=6193
a=19185915, b=19179721, c=6194
a=19192110, b=19185915, c=6195
a=19198306, b=19192110, c=6196
a=19204503, b=19198306, c=6197
a=19210701, b=19204503, c=6198
a=19216900, b=19210701, c=6199
a=19223100, b=19216900, c=6200
a=19229301, b=19223100, c=6201
a=19235503, b=19229301, c=6202
a=19241706, b=19235503, c=6203
a=19247910, b=19241706, c=6204
a=19254115, b=19247910, c=6205
a=19260321, b=19254115, c=6206
a=19266528, b=19260321, c=6207
a=19272736, b=19266528, c=6208
a=19278945, b=19272736, c=6209
a=19285155, b=19278945, c=6210
a=19291366, b=19285155, c=6211
a=19297578, b=19291366, c=6212
a=19303791, b=19297578, c=6213
a=19310005, b=19303791, c=6214
a=19316220, b=19310005, c=6215
a=19322436, b=19316220, c=6216
a=19328653, b=19322436, c=6217
a=19334871, b=19328653, c=6218
a=19341090, b=19334871, c=6219
a=19347310, b=19341090, c=6220
a=19353531, b=19347310, c=6221
a=19359753, b=19353531, c=6222
a=19365976, b=19359753, c=6223
a=19372200, b=19365976, c=6224
a=19378425, b=19372200, c=6225
a=19384651, b=19378425, c=6226
a=19390878, b=19384651, c=6227
a=19397106, b=19390878, c=6228
a=19403335, b=19397106, c=6229
a=19409565, b=19403335, c=6230
a=19415796, b=19409565, c=6231
a=19422028, b=19415796, c=6232
a=19428261, b=19422028, c=6233
a=19434495, b=19428261, c=6234
a=19440730, b=19434495, c=6235
a=19446966, b=19440730, c=6236
a=19453203, b=19446966, c=6237
a=19459441, b=19453203, c=6238
a=19465680, b=19459441, c=6239
a=19471920, b=19465680, c=6240
a=19478161, b=19471920, c=6241
a=19484403, b=19478161, c=6242
a=19490646, b=19484403, c=6243
a=19496890, b=19490646, c=6244
a=19503135, b=19496890, c=6245
a=19509381, b=19503135, c=6246
a=19515628, b=19509381, c=6247
a=19521876, b=19515628, c=6248
a=19528125, b=19521876, c=6249
a=19534375, b=19528125, c=6250
a=19540626, b=19534375, c=6251
a=19546878, b=19540626, c=6252
a=19553131, b=19546878, c=6253
a=19559385, b=19553131, c=6254
a=19565640, b=19559385, c=6255
a=19571896, b=19565640, c=6256
a=19578153, b=19571896, c=6257
a=19584411, b=19578153, c=6258
a=19590670, b=19584411, c=6259
a=19596930, b=19590670, c=6260
a=19603191, b=19596930, c=6261
a=19609453, b=19603191, c=6262
a=19615716, b=19609453, c=6263
a=19621980, b=19615716, c=6264
a=19628245, b=19621980, c=6265
a=19634511, b=19628245, c=6266
a=19640778, b=19634511, c=6267
a=19647046, b=19640778, c=6268
a=19653315, b=19647046, c=6269
a=19659585, b=19653315, c=6270
a=19665856, b=19659585, c=6271
a=19672128, b=19665856, c=6272
a=19678401, b=19672128, c=6273
a=19684675, b=19678401, c=6274
a=19690950, b=19684675, c=6275
a=19697226, b=19690950, c=6276
a=19703503, b=19697226, c=6277
a=19709781, b=19703503, c=6278
a=19716060, b=19709781, c=6279
a=19722340, b=19716060, c=6280
a=19728621, b=19722340, c=6281
a=19734903, b=19728621, c=6282
a=19741186, b=19734903, c=6283
a=19747470, b=19741186, c=6284
a=19753755, b=19747470, c=6285
a=19760041, b=19753755, c=6286
a=19766328, b=19760041, c=6287
a=19772616, b=19766328, c=6288
a=19778905, b=19772616, c=6289
a=19785195, b=19778905, c=6290
a=19791486, b=19785195, c=6291
a=19797778, b=19791486, c=6292
a=19804071, b=19797778, c=6293
a=19810365, b=19804071, c=6294
a=19816660, b=19810365, c=6295
a=19822956, b=19816660, c=6296
a=19829253, b=19822956, c=6297
a=19835551, b=19829253, c=6298
a=19841850, b=19835551, c=6299
a=19848150, b=19841850, c=6300
a=19854451, b=19848150, c=6301
a=19860753, b=19854451, c=6302
a=19867056, b=19860753, c=6303
a=19873360, b=19867056, c=6304
a=19879665, b=19873360, c=6305
a=19885971, b=19879665, c=6306
a=19892278, b=19885971, c=6307
a=19898586, b=19892278, c=6308
a=19904895, b=19898586, c=6309
a=19911205, b=19904895, c=6310
a=19917516, b=19911205, c=6311
a=19923828, b=19917516, c=6312
a=19930141, b=19923828, c=6313
a=19936455, b=19930141, c=6314
a=19942770, b=19936455, c=6315
